policy_id,customer_id,agent_id,product_id,effective_date,term_years,expiration_date,canceled_flag,status,annual_premium_usd,deductible_usd,life_face_amount_usd,life_insured_age
297,489,16,2,2008-10-01,1,2009-10-01,False,expired,8122.77,652,,
298,414,32,3,2006-09-13,2,2008-09-12,False,expired,183.08,498,,
299,415,10,2,2011-02-12,2,2013-02-11,True,expired,110.23,1006,,
300,468,30,1,2007-01-01,2,2008-12-31,False,expired,1312.11,838,,
301,482,0,2,2016-03-13,1,2017-03-13,False,expired,507.07,2149,,
302,282,7,1,2011-05-30,1,2012-05-29,False,expired,148.72,660,,
303,329,39,3,2023-09-20,2,2025-09-19,False,active,1743.38,354,,
304,461,37,1,2022-10-28,1,2023-10-28,False,expired,279.24,1096,,
305,259,39,1,2008-03-22,3,2011-03-22,True,expired,325.52,1240,,
306,40,29,4,2016-09-29,3,2019-09-29,False,expired,706.04,965,,
307,126,20,1,2012-06-15,2,2014-06-15,False,expired,1504.4,1185,,
308,8,9,2,2012-05-02,3,2015-05-02,False,expired,3812.88,961,,
309,157,39,2,2014-09-06,1,2015-09-06,False,expired,1073.56,1390,,
310,411,11,2,2013-01-11,2,2015-01-11,False,expired,2611.78,2497,,
311,492,27,2,2013-02-28,3,2016-02-28,False,expired,712.88,1623,,
312,151,37,3,2009-01-25,2,2011-01-25,False,expired,1398.11,268,,
313,364,37,1,2012-09-10,2,2014-09-10,False,expired,7641.98,359,,
314,68,13,1,2019-08-12,3,2022-08-11,False,expired,8643.63,316,,
315,60,21,1,2010-03-18,1,2011-03-18,False,expired,27.35,450,,
316,306,31,3,2024-03-22,4,2028-03-21,False,active,133.9,340,,
317,431,37,2,2016-05-05,2,2018-05-05,False,expired,1643.96,2150,,
318,227,31,2,2022-06-09,1,2023-06-09,False,expired,766.16,1620,,
319,390,17,1,2017-01-23,2,2019-01-23,False,expired,1828.81,491,,
320,190,28,3,2016-11-10,2,2018-11-10,False,expired,2473.29,378,,
321,240,29,2,2024-12-16,4,2028-12-15,False,active,427.21,1529,,
322,79,37,2,2009-10-23,1,2010-10-23,False,expired,536.36,1463,,
323,60,16,2,2013-05-05,1,2014-05-05,False,expired,150.29,1386,,
324,244,11,3,2013-11-21,2,2015-11-21,False,expired,877.18,191,,
325,292,4,1,2015-03-19,2,2017-03-18,False,expired,1455.65,615,,
326,104,30,1,2020-03-16,1,2021-03-16,False,expired,325.64,816,,
327,138,23,1,2009-12-12,2,2011-12-12,False,expired,174.64,1148,,
328,60,28,1,2005-11-11,1,2006-11-11,False,expired,5883.9,439,,
329,244,18,2,2016-06-06,2,2018-06-06,False,expired,314.19,688,,
330,218,1,1,2017-03-14,1,2018-03-14,False,expired,7107.68,737,,
331,37,19,1,2019-12-31,1,2020-12-30,False,expired,122.81,746,,
332,35,8,1,2011-10-08,2,2013-10-07,False,expired,173.27,673,,
333,198,26,3,2019-01-14,2,2021-01-13,False,expired,549.49,164,,
334,68,23,3,2020-07-10,1,2021-07-10,False,expired,856.62,213,,
335,332,7,2,2009-10-01,2,2011-10-01,False,expired,28.56,752,,
336,198,4,2,2016-01-27,2,2018-01-26,True,expired,128.25,1904,,
337,463,0,1,2007-02-02,3,2010-02-01,False,expired,2279.31,949,,
338,142,11,3,2017-06-26,1,2018-06-26,False,expired,436.75,505,,
339,134,6,2,2008-02-22,1,2009-02-21,False,expired,536.92,1799,,
340,294,32,2,2010-11-09,2,2012-11-08,False,expired,1034.3,753,,
341,287,21,2,2009-05-25,1,2010-05-25,False,expired,406.7,2487,,
342,23,0,3,2012-11-12,1,2013-11-12,False,expired,759.69,197,,
343,132,36,1,2013-07-21,2,2015-07-21,False,expired,177.42,331,,
344,117,36,3,2024-03-20,3,2027-03-20,False,active,1411.47,197,,
345,386,7,2,2012-09-14,2,2014-09-14,False,expired,399.25,1801,,
346,260,2,2,2025-05-19,1,2026-05-19,False,active,674.75,613,,
347,297,38,3,2016-04-03,2,2018-04-03,False,expired,1033.12,223,,
348,24,2,3,2011-01-05,1,2012-01-05,False,expired,181.35,335,,
349,143,24,2,2006-10-31,1,2007-10-31,False,expired,261.67,1680,,
350,168,10,1,2024-03-14,1,2025-03-14,False,expired,183.16,557,,
351,277,4,2,2014-07-23,1,2015-07-23,False,expired,1497.37,2144,,
352,173,2,2,2011-08-13,2,2013-08-12,False,expired,5237.97,2044,,
353,191,29,1,2006-09-09,2,2008-09-08,False,expired,695.11,679,,
354,92,22,1,2018-06-04,1,2019-06-04,True,expired,2930.07,1039,,
355,106,22,2,2018-02-10,1,2019-02-10,False,expired,18775.56,1430,,
356,3,9,2,2006-02-11,1,2007-02-11,False,expired,473.14,2445,,
357,405,8,1,2014-12-10,1,2015-12-10,False,expired,93.21,742,,
358,19,18,2,2012-12-20,1,2013-12-20,False,expired,552.86,1071,,
359,355,19,1,2011-01-28,3,2014-01-27,False,expired,3286.94,878,,
360,274,28,3,2009-04-30,3,2012-04-29,False,expired,802.7,476,,
361,81,27,1,2016-01-27,2,2018-01-26,False,expired,10712.66,1066,,
362,93,25,1,2006-08-16,2,2008-08-15,False,expired,709.56,873,,
363,431,15,2,2017-01-01,2,2019-01-01,False,expired,395.12,918,,
364,124,31,2,2009-04-20,2,2011-04-20,False,expired,18586.93,989,,
365,365,38,2,2016-06-20,1,2017-06-20,False,expired,1591.32,1391,,
